factor_name,factors,top_n,rebalance_days,industry_cap,weight_mode,total_return,annualized_return,max_drawdown,sharpe,final_value,avg_turnover,avg_holdings,avg_fee,avg_cash
value_lowvol,"earnings_yield,cashflow_yield,sales_yield,low_vol_60",6,20,2,equal,1.0801436462766651,0.11475752073970824,0.22664307273269502,0.6498065781695171,124657.88590999998,0.3547572641143294,6.0,51.89545988235294,0.0816485542773543
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",6,60,2,equal,1.0540118923286066,0.1126691962014148,0.35637505239701617,0.6494134475558874,123093.71785,0.8277969161703066,6.0,89.25110862068964,0.10417964752730693
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",15,30,2,inverse_vol,0.6343801076678621,0.07558582356201571,0.14955297956326674,0.6493196340150774,97877.87184,0.5295210752151721,13.368421052631579,98.80926596491229,0.2021710285332937
value_lowvol,"earnings_yield,cashflow_yield,sales_yield,low_vol_60",6,60,2,equal,1.0023798675279054,0.108475603590247,0.22801578119383303,0.6479582343984764,119997.69416000001,0.6607199491674343,6.0,83.4933048275862,0.08431371340260403
value_growth_lowvol_momo,"earnings_yield,growth_peg,low_vol_60,momentum_60",8,40,1,inverse_vol,0.9610339886280526,0.10505052904253365,0.1587368632010593,0.6467711461616855,117502.91145,0.7282850531436533,7.813953488372093,97.44391976744186,0.12908741873487453
v3_no_amihud_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,quality_roe",6,40,1,inverse_vol,1.2413262945487564,0.1271658064438954,0.23283467912031186,0.6457548053196311,134322.11177,0.6861725811545536,5.906976744186046,77.92763325581396,0.12912626025950852
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",12,60,1,inverse_vol,0.8212322701885191,0.09299468178216785,0.19346169983714612,0.6449178522527502,109092.60828000004,0.7507611417815219,11.448275862068966,115.04799034482757,0.16116467161923792
cash_growth_lowvol,"cashflow_yield,growth_peg,quality_roe,low_vol_60",8,30,2,inverse_vol,0.9531713035497182,0.10439223826470467,0.24585013712175008,0.6448763778802978,117035.00210999997,0.6676133070496602,7.87719298245614,90.28066473684211,0.13839956655697247
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",6,40,1,inverse_vol,1.0408373761515821,0.11160775914637311,0.18437246693233622,0.6447903426972061,122303.17844,0.7282997663031786,6.0,88.0888734883721,0.09418791680979673
cash_growth_quality_momo,"cashflow_yield,growth_peg,quality_roe,momentum_60",10,30,1,inverse_vol,1.0534419576941052,0.1126233981875493,0.22437738098619509,0.6438391342365207,123025.38540000006,0.8131969308189114,9.298245614035087,116.18622105263157,0.1769862642210615
value_cash_growth_lowvol,"earnings_yield,cashflow_yield,growth_peg,low_vol_60",10,60,2,equal,0.9987653577028193,0.10817859410445307,0.2709312438884004,0.6437431773924245,119746.71247999997,0.7109527044653052,10.0,101.25129379310344,0.13152848865646183
