date,rebalance_count,target_exposure,actual_exposure,turnover,fee,holdings,targets,case
2025-12-29,5,0.95,0.8660976344601389,0.4017940233637204,49.63308000000001,10,"002714,600019,600887,002415,002241,600028,000725,601668,600104,600050",cold_2025_v9_fixed95
2025-01-02,1,0.8,0.6025610520541944,0.6025610520541944,77.44132,10,"600019,002241,000725,601633,002475,601688,600028,000625,300433,600887",cold_2025_v10_ramp_80_90_98
2025-04-07,2,0.9,0.5850369060829714,0.8332480539531314,100.08844,8,"002241,600887,603259,600104,000538,600019,000100,600050,600900,600111",cold_2025_v10_ramp_80_90_98
2025-07-04,3,0.98,0.8460174614720535,1.0463459139419067,116.49984,10,"002241,600019,600887,002714,002415,000725,002460,601668,601012,000538",cold_2025_v10_ramp_80_90_98
2025-09-26,4,0.98,0.8535497139438486,0.4367985526922948,61.510279999999995,10,"600887,600019,000725,002714,002415,601668,002241,601012,600028,000100",cold_2025_v10_ramp_80_90_98
2025-12-29,5,0.98,0.8850466671133468,0.44436483451483133,62.19048000000001,10,"002714,600019,600887,002415,002241,600028,000725,601668,600104,600050",cold_2025_v10_ramp_80_90_98
2025-01-02,1,0.7,0.5745126246381584,0.5745126246381584,76.16452,10,"600019,002241,000725,601633,002475,601688,600028,000625,300433,600887",cold_2025_v10_ramp_70_85_98
2025-04-07,2,0.85,0.632783404096858,0.8758391620139593,111.99604000000001,9,"002241,600887,600104,000538,600019,000100,600050,600900,600111,601166",cold_2025_v10_ramp_70_85_98
2025-07-04,3,0.98,0.8296508296534459,1.088893654088113,124.34528000000003,10,"002241,600019,600887,002714,002415,000725,002460,601668,601012,000538",cold_2025_v10_ramp_70_85_98
2025-09-26,4,0.98,0.8450991338069589,0.43563530545580664,61.8348,10,"600887,600019,000725,002714,002415,601668,002241,601012,600028,000100",cold_2025_v10_ramp_70_85_98
2025-12-29,5,0.98,0.8890666285825969,0.42362993139929594,56.53232000000001,10,"002714,600019,600887,002415,002241,600028,000725,601668,600104,600050",cold_2025_v10_ramp_70_85_98
