factor_name,factors,weights,top_n,rebalance_days,industry_cap,filter_mode,total_return,annualized_return,max_drawdown,sharpe,final_value,avg_turnover,avg_holdings,avg_fee,avg_cash,avg_skipped_slots
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",8,40,1,not_deep_downtrend,1.6175023619973397,0.15340565027070086,0.23868664416004048,0.7844446513683233,156838.21428000004,0.6262019176182352,8.0,88.97176093023256,0.1042614652006387,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,10,30,1,not_120dd25,1.5179596661196268,0.14679178482520738,0.22679688427837796,0.7836844787787794,150850.61068000004,0.5133948236104138,9.982456140350877,87.25244421052632,0.11479643480345209,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,12,50,1,not_deep_downtrend,1.2337588201629854,0.1266005231991627,0.20678179704803712,0.7836355680255961,133802.77056,0.6211725275683752,11.852941176470589,105.62439529411765,0.14109537842418626,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,10,30,2,trend_combo,1.5115608671349103,0.14635905991489184,0.29048661611768634,0.7830045697602426,150474.38312,0.5853562927261187,9.912280701754385,88.41433122807017,0.1455682736996495,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",12,50,1,mom120_gt_neg20,1.418468790791393,0.139954980347905,0.16620611308289068,0.7825789150616564,144866.76136000006,0.5439629462559754,12.0,97.7129011764706,0.12943338799492,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",10,40,1,mom120_gt_neg20,1.480181619366519,0.14422331673973332,0.220846788237945,0.7819094110837119,148586.69419999997,0.5236705197357047,10.0,87.19315813953487,0.11023816943593136,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,12,60,2,mom120_gt_neg20,1.3573810868116771,0.13563752398147755,0.2113971320202549,0.7813943607369193,141208.45572,0.6297491913461205,12.0,107.67394068965515,0.13173140575138867,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",8,50,1,trend_combo,1.7532414480572207,0.16208748682124008,0.25751734914985547,0.7802736674009199,164974.45894999997,0.7744065574487059,8.0,109.95708970588237,0.11725006375640373,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,10,30,1,mom120_gt_neg20,1.39284938133006,0.13815573230192202,0.23280684368836035,0.7795287299183756,143354.65456000002,0.5772674405675263,10.0,91.95342877192982,0.11711138261808414,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,12,50,2,not_120dd25,1.2984878121023766,0.13138398499123705,0.21684889624462722,0.777816900169595,137681.98707999996,0.6067505677317586,11.882352941176471,106.02979176470589,0.1384079999585888,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,8,60,2,mom120_gt_neg20,1.5412699688170268,0.14836028710661409,0.23498857867408585,0.7773638680309799,152269.88472,0.7949200949424756,8.0,114.55569931034485,0.10340147905627838,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,12,60,1,mom120_gt_neg20,1.3646196099102097,0.13615405915305323,0.15787804010540063,0.7773489293434096,141641.18472000002,0.6610427238199557,11.96551724137931,113.75225103448275,0.1326403544917352,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,8,30,1,mom120_gt_neg20,1.5885783050624238,0.15150626013219015,0.32289804356310403,0.775375988752225,155109.36605999997,0.5935417340973381,7.982456140350878,83.41463052631579,0.13744187834203814,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",10,30,1,mom120_gt_neg20,1.3796885628461073,0.1372250620421236,0.24533637525439267,0.7747806022750802,142566.19516,0.5377505894752664,10.0,86.04920771929824,0.11381055995726325,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,8,40,1,not_120dd25,1.50148667700641,0.14567587654491265,0.27027501079560745,0.7747568312417096,149885.5714,0.6561680123789377,8.0,91.10299069767443,0.11138883586293044,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,12,30,1,trend_combo,1.2218380089261212,0.12570673269525767,0.2222045500173392,0.7744172964632123,133091.83120000004,0.5665517712561156,11.719298245614034,90.98541754385965,0.17523815436862358,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,10,40,2,not_120dd25,1.4749539883621114,0.14386527839836938,0.2312481755390272,0.7740361100748069,148277.27835999997,0.5682068468613348,10.0,91.57492186046511,0.11476796166479468,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,8,40,2,trend_combo,1.5800784171121092,0.15094465193769935,0.24948352687969566,0.7726574039862941,154594.17424,0.6437257695817606,8.0,96.04245953488373,0.10148615073831059,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,8,50,1,not_120dd25,1.6945373383024385,0.15837856342398493,0.2862215789401156,0.7712772700293842,161456.90376000002,0.7073374864764068,8.0,99.5028305882353,0.12659626342963914,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,12,30,1,mom120_gt_neg20,1.2127903064255716,0.1250256298521204,0.2267067228797659,0.770397218094167,132550.39340000003,0.530301848244955,11.736842105263158,86.6422210526316,0.17752282651285678,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,12,60,2,none,1.3395720076329964,0.134360908824825,0.2099184585523608,0.7697879088184796,140141.68183999998,0.5929247169973452,12.0,105.45924689655173,0.1281608958125821,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,12,50,2,trend_combo,1.277446634480849,0.12984177210549208,0.17966347743174604,0.7696525714300393,136421.59704,0.5835975212406623,12.0,103.04126352941176,0.12981717410724597,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",10,40,1,none,1.4136241064013353,0.13961598742128278,0.20220516779400388,0.7691324356855045,144599.2453999999,0.45969283089974,10.0,78.41289767441862,0.11282735711170733,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,8,60,1,not_120dd25,1.63095840995048,0.15428319833900228,0.19236676759818083,0.7676069994341636,157641.44040000002,0.6478080360163009,8.0,97.32964137931035,0.1039805428181756,0.0
quality_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe","1,1,1,1,1,0.5",12,50,1,trend_combo,1.3318013013083938,0.1338012832135287,0.23071578862050124,0.7663028416037879,139678.81724000003,0.663650058041735,11.823529411764707,109.4465517647059,0.1480059395846623,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",8,60,1,trend_combo,1.5683669599130083,0.15016826065565692,0.17402191942842704,0.7662831212671141,153892.94409999996,0.7054799340956908,8.0,101.76054827586206,0.10346173802981676,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",12,30,1,not_120dd25,1.1648820560933708,0.12137910497538762,0.22386210940036733,0.7656178851647046,129677.42988000003,0.4840861040588534,11.824561403508772,84.22052842105265,0.14227940448304813,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,8,40,2,not_120dd25,1.4983049077140431,0.14545961725259438,0.23459204297227843,0.7642099146623604,149694.43628,0.6119810175200066,8.0,88.29217953488373,0.10657324622896851,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,10,50,1,not_120dd25,1.4360676053953534,0.14118156057304754,0.27908438044229256,0.7635813834601239,145944.46880000003,0.6987661758859203,9.970588235294118,106.83915294117648,0.14039073997720763,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,10,30,2,trend_combo,1.3318616199150846,0.1338056333119495,0.24972931625477124,0.7601950238743689,139702.79475999996,0.5802808314656491,10.0,93.0211445614035,0.11816157061652136,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,8,30,2,not_120dd25,1.5475392338872354,0.14878004161347436,0.30319780710104494,0.7574313729654756,152647.06894,0.5758041294883188,8.0,80.98124666666666,0.13559424411266932,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,10,40,2,not_120dd25,1.4085612954995406,0.13926111191530555,0.21752021075108185,0.7572666450580413,144303.40107999995,0.6545693154915008,9.953488372093023,100.57206790697676,0.13728589337885017,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,12,50,1,mom120_gt_neg20,1.2204471014209726,0.12560218027551984,0.19748586851965733,0.7568918022527653,133005.22280000002,0.6182072931452659,11.852941176470589,105.72874117647059,0.13947914531958489,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",8,40,1,mom120_gt_neg10,1.4885296011985778,0.14479373619355917,0.182489579597226,0.7542955592735012,149109.20160000003,0.6765430559542692,8.0,94.94880000000002,0.10421524141776614,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,10,60,1,not_120dd25,1.3277671570663454,0.13351012827053665,0.21989993997604418,0.753825523100772,139456.20412,0.7397637048687544,9.96551724137931,113.64813379310343,0.12933440234236207,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",10,30,1,not_120dd25,1.2628435330016652,0.12876428865180967,0.21066747597132918,0.7534786057900977,135566.79712,0.5149888995299384,10.0,82.93338385964913,0.12441794963763553,0.0
lowvol_half,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60","1,1,1,1,1,0.5",10,30,1,not_deep_downtrend,1.3321640456040642,0.13382744240937616,0.22915172785971294,0.7532403609931999,139719.41371999992,0.5304783406588587,10.0,86.37870666666667,0.11635855292045665,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,12,60,2,not_120dd25,1.3021005232338707,0.13164756818858625,0.19670750634871126,0.7526255148055423,137897.48972000004,0.5720691291121986,11.89655172413793,98.50035448275862,0.13520310129723193,0.0
v3_plus_lowvol,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,low_vol_60",,10,40,1,trend_combo,1.252973330317798,0.1280326610620881,0.23125542854865255,0.7505533230063983,134975.29932,0.5967562452379852,10.0,93.8535041860465,0.12301843598808407,0.0
v3_plus_quality,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud,quality_roe",,8,30,1,not_120dd25,1.4503600816378306,0.14217215885457457,0.26993528203082207,0.7500952190176312,146825.78202000007,0.5934234412711547,8.0,83.86347333333332,0.13031080387849614,0.0
v3_full,"earnings_yield,cashflow_yield,sales_yield,growth_peg,amihud",,10,30,2,trend_combo,1.3991724379102992,0.13860131916659202,0.21616526234002098,0.7486861732709709,143737.12040000004,0.5521606633215783,9.982456140350877,90.47157192982456,0.11776587266319191,0.0
