date,stock_value,holdings,day_pnl,max_weight,total_value,cash,exposure,cash_ratio,ret,equity,drawdown
2024-05-30,114655.0,6,198.44,16.28,125601.44,10946.440000000002,0.9128478144836556,0.08715218551634442,0.0004234227661263912,2.0933573333333335,-0.14959115844939186
2024-05-31,113043.0,6,-1612.0,15.98,123989.44,10946.440000000002,0.9117147395778221,0.08828526042217791,-0.0128342477602168,2.0664906666666667,-0.1605055162193313
2024-06-03,113661.0,6,618.0,16.06,124607.44,10946.440000000002,0.9121525969877882,0.0878474030122118,0.004984295436772701,2.0767906666666667,-0.15632122769462753
2024-06-04,113535.0,6,-126.0,16.09,124481.44,10946.440000000002,0.9120636779266049,0.08793632207339505,-0.0010111755766750719,2.0746906666666667,-0.1571743350637419
2024-06-05,111677.0,6,-1018.0,15.82,123295.44,11618.440000000002,0.9057674801274078,0.09423251987259222,-0.009527524745857718,2.054924,-0.16520437744286598
2024-06-06,109805.0,6,-1872.0,15.84,121423.44,11618.440000000002,0.9043146858629603,0.09568531413703979,-0.01518304326583364,2.023724,-0.1778791154982795
2024-06-07,109184.0,6,-621.0,15.68,120802.44,11618.440000000002,0.903822803579133,0.09617719642086701,-0.0051143337727872495,2.013374,-0.1820837161032003
2024-06-11,108800.0,6,-384.0,15.53,120418.44,11618.440000000002,0.9035161060050271,0.09648389399497288,-0.00317874374060656,2.006974,-0.18468366237097755
2024-06-12,109156.0,6,356.0,15.66,120774.44,11618.440000000002,0.9038005061335825,0.09619949386641745,0.0029563578468547735,2.012907333333333,-0.1822732955185592
2024-06-13,108371.0,6,-785.0,15.68,119989.44,11618.440000000002,0.9031711457274907,0.09682885427250933,-0.006499719642666157,1.999824,-0.18758828984200981
2024-06-14,110450.0,6,309.0,15.8,121034.41,10584.410000000003,0.9125504061200447,0.08744959387995532,0.008708849712107947,2.017240166666667,-0.18051311835388717
2024-06-17,109602.0,6,-848.0,15.96,120186.41,10584.410000000003,0.9119333874770034,0.08806661252299659,-0.0070062720180154026,2.0031068333333333,-0.18625466636189514
2024-06-18,109830.0,6,228.0,16.16,120414.41,10584.410000000003,0.9121001381811362,0.08789986181886374,0.0018970530861184276,2.0069068333333333,-0.18471094826540235
2024-06-19,109383.0,6,-306.0,16.09,120080.21,10697.210000000006,0.9109161284777899,0.08908387152221008,-0.002775415334427156,2.0013368333333332,-0.18697371400157725
2024-06-20,108058.0,6,-1325.0,15.95,118755.21,10697.210000000006,0.9099221836246173,0.09007781637538265,-0.011034291162548726,1.9792535,-0.1959448827640894
2024-06-21,108249.0,6,191.0,16.0,118946.21,10697.210000000006,0.9100668276862289,0.08993317231377113,0.0016083504883701583,1.9824368333333335,-0.19465168032360647
2024-06-24,107545.0,6,-704.0,15.74,118242.21,10697.210000000006,0.9095313763164609,0.09046862368353911,-0.005918641712081452,1.9707035000000002,-0.19941824848119782
2024-06-25,107074.0,6,-471.0,15.71,117771.21,10697.210000000006,0.9091695669934953,0.09083043300650478,-0.003983349093356736,1.9628535,-0.20260724507526828
2024-06-26,107760.0,6,686.0,15.83,118457.21,10697.210000000006,0.9096955769935827,0.0903044230064173,0.005824853119875462,1.9742868333333334,-0.19796254939897895
2024-06-27,107565.0,6,-195.0,16.06,118262.21,10697.210000000006,0.9095466759838159,0.09045332401618408,-0.0016461640452277715,1.9710368333333335,-0.1992828346130845
2024-06-28,107911.0,6,346.0,16.21,118608.21,10697.210000000006,0.909810543469124,0.09018945653087594,0.0029257021325748145,1.9768035000000002,-0.1969401746947228
2024-07-01,108326.0,6,415.0,16.23,119023.21,10697.210000000006,0.9101250083912205,0.08987499160877954,0.0034989146198227683,1.9837201666666668,-0.19413033693136994
2024-07-02,108133.0,6,-193.0,16.28,118830.21,10697.210000000006,0.9099790364756571,0.09002096352434288,-0.0016215324725320501,1.9805035000000002,-0.19543708075866417
2024-07-03,108200.0,6,67.0,16.33,118897.21,10697.210000000006,0.9100297643653706,0.08997023563462932,0.0005638296860706049,1.9816201666666668,-0.1949834443004843
